id;word;slog
8366;INTEGRAL;IN-TEG-RAL
8367;INTEGRALLASH;IN-TEG-RAL-LASH
8368;INTEGRASIYA;IN-TEG-RA-SI-YA
8369;INTELLEKT;IN-TEL-LEKT
8370;INTELLEKTUAL;IN-TEL-LEK-TU-AL
8371;INTELLIGENT;IN-TEL-LI-GENT
8372;INTELLIGENSIYA;IN-TEL-LI-GEN-SI-YA
8373;INTENDANT;IN-TEN-DANT
8374;INTENSIV;IN-TEN-SIV
8375;INTENSIVLASH;IN-TEN-SIV-LASH
8376;INTER;IN-TER
8377;INTERAKTIV;IN-TER-AK-TIV
8378;INTERVAL;IN-TER-VAL
8379;INTERVENSIYA;IN-TER-VEN-SI-YA
8380;INTERVENSIYACHI;IN-TER-VEN-SI-YA-CHI
8381;INTERVOKAL;IN-TER-VO-KAL
8382;INTERLINGVISTIKA;IN-TER-LING-VIS-TI-KA
8383;INTERMEDIYA;IN-TER-ME-DI-YA
8384;INTERNAT;IN-TER-NAT
8385;INTERNATURA;IN-TER-NA-TU-RA
8386;INTERNASIONAL;IN-TER-NA-SI-O-NAL
8387;INTERNASIONALIZM;IN-TER-NA-SI-O-NA-LIZM
8388;INTERNASIONALIST;IN-TER-NA-SI-O-NA-LIST
8389;INTERNET;IN-TER-NET
8390;INTERNETLASHUV;IN-TER-NET-LA-SHUV
8391;INTERPOL;IN-TER-POL
8392;INTERFAOL;IN-TER-FA-OL
8393;INTIBOH;IN-TI-BOH
8394;INTIZOM;IN-TI-ZOM
8395;INTIZOMIY;IN-TI-ZO-MIY
8396;INTIZOMLI;IN-TI-ZOM-LI
8397;INTIZOMSIZ;IN-TI-ZOM-SIZ
8398;INTIZOMSIZLIK;IN-TI-ZOM-SIZ-LIK
8399;INTIZOR;IN-TI-ZOR
8400;INTIZOR;IN-TI-ZOR
8401;INTIZORLIK;IN-TI-ZOR-LIK
8402;INTIQ;IN-TIQ
8403;INTIQMOQ;IN-TIQ-MOQ
8404;INTIQOM;IN-TI-QOM
8405;INTILISH;IN-TI-LISH
8406;INTILMA;IN-TIL-MA
8407;INTILMOQ;IN-TIL-MOQ
8408;INTILUVCHAN;IN-TI-LUV-CHAN
8409;INTIM;IN-TIM
8410;INTIHO;IN-TI-HO
8411;INTIHOSIZ;IN-TI-HO-SIZ
8412;INTOKSIKASIYA;IN-TOK-SI-KA-SI-YA
8413;INTONASION;IN-TO-NA-SI-ON
8414;INTONASIYA;IN-TO-NA-SI-YA
8415;INTRIGA;IN-TRI-GA
8416;INTRIGACHI;IN-TRI-GA-CHI
8417;INTUISIYA;IN-TU-I-SI-YA
8418;INFEKSION;IN-FEK-SI-ON
8419;INFEKSIYA;IN-FEK-SI-YA
8420;INFINITIV;IN-FI-NI-TIV
8421;INFLYASIYA;IN-FLYA-SI-YA
8422;INFORMATIKA;IN-FOR-MA-TI-KA
8423;INFORMASION;IN-FOR-MA-SI-ON
8424;INFORMASIYA;IN-FOR-MA-SI-YA
8425;INFRAQIZIL;IN-FRA-QI-ZIL
8426;INFRASTRUKTURA;IN-FRA-STRUK-TU-RA
8427;INFRATOVUSHLAR;IN-FRA-TO-VUSH-LAR
8428;INFRATUZILMA;IN-FRA-TU-ZIL-MA
8429;INFUZORIYA;IN-FU-ZO-RI-YA
8430;INSHO;IN-SHO
8431;INSHOOLLOH;IN-SHO-OL-LOH
8432;INSHOOT;IN-SHO-OT
8433;IN’YEKSIYA;IN’-YEK-SI-YA
8434;IN’IKOS;IN’-I-KOS
8435;IN’OM;IN’-OM
8436;YOGA;YO-GA
8437;YOGURT;YO-GURT
8438;YOD;YOD
8439;YODLAMOQ;YOD-LA-MOQ
8440;YODLI;YOD-LI
8441;ION;I-ON
8442;IONA;I-O-NA
8443;IONLASHMOQ;I-ON-LASH-MOQ
8444;IONLASHUV;I-ON-LA-SHUV
8445;IONOSFERA;I-O-NO-SFE-RA
8446;IP;IP
8447;IPAK;I-PAK
8448;IPAKDAY;I-PAK-DAY
8449;IPAKLI;I-PAK-LI
8450;IPAKFURUSH;I-PAK-FU-RUSH
8451;IPAKCHILIK;I-PAK-CHI-LIK
8452;IPILTIRIQ;I-PIL-TI-RIQ
8453;IPIR;I-PIR
8454;IPIRISQI;I-PI-RIS-QI
8455;IPOTEKA;I-PO-TE-KA
8456;IPPODROM;IP-PO-DROM
8457;IPSIZ;IP-SIZ
8458;IRG‘AY;IR-G‘AY
8459;IRG‘AYZOR;IR-G‘AY-ZOR
8460;IRG‘ALMOQ;IR-G‘AL-MOQ
8461;IRG‘AMOQ;IR-G‘A-MOQ
8462;IRGAMCHIK;IR-GAM-CHIK
8463;IRGANMOQ;IR-GAN-MOQ
8464;IRGANCH;IR-GANCH
8465;IRG‘IMOQ;IR-G‘I-MOQ
8466;IRG‘ITMOQ;IR-G‘IT-MOQ
8467;IRG‘ISHLAMOQ;IR-G‘ISH-LA-MOQ
8468;IRJAYMOQ;IR-JAY-MOQ
8469;IRILLAMOQ;I-RIL-LA-MOQ
8470;IRIM;I-RIM
8471;IRIMIGA;I-RI-MI-GA
8472;IRIMKASH;I-RIM-KASH
8473;IRIMOQ;I-RI-MOQ
8474;IRIMCHI;I-RIM-CHI
8475;IRIN;I-RIN
8476;IRIT;I-RIT
8477;IRISH;I-RISH
8478;IRKILMOQ;IR-KIL-MOQ
8479;IRKIT;IR-KIT
8480;IRQ;IRQ
8481;IRQIY;IR-QIY
8482;IRQCHI;IRQ-CHI
8483;IRQCHILIK;IRQ-CHI-LIK
8484;IRMOQ;IR-MOQ
8485;IRODA;I-RO-DA
8486;IRODALI;I-RO-DA-LI
8487;IRODASIZ;I-RO-DA-SIZ
8488;IRODASIZLIK;I-RO-DA-SIZ-LIK
8489;IROQ;I-ROQ
8490;IROQI;I-RO-QI
8491;IRRASIONAL;IR-RA-SI-O-NAL
8492;IRRIGATOR;IR-RI-GA-TOR
8493;IRRIGASION;IR-RI-GA-SI-ON
8494;IRRIGASIYA;IR-RI-GA-SI-YA
8495;IRSIY;IR-SIY
8496;IRSIYAT;IR-SI-YAT
8497;IRSHAYMOQ;IR-SHAY-MOQ
8498;IS;IS
8499;ISBOT;IS-BOT
8500;ISBOTLAMOQ;IS-BOT-LA-MOQ
8501;ISYON;IS-YON
8502;ISYONKOR;IS-YON-KOR
8503;ISYONKORLIK;IS-YON-KOR-LIK
8504;ISYONKORONA;IS-YON-KO-RO-NA
8505;ISYONCHI;IS-YON-CHI
8506;ISIMOQ;I-SI-MOQ
8507;ISINMOQ;I-SIN-MOQ
8508;ISIRG‘A;I-SIR-G‘A
8509;ISIRIQ;I-SI-RIQ
8510;ISIRIQDON;I-SI-RIQ-DON
8511;ISIRIQCHI;I-SI-RIQ-CHI
8512;ISITKICH;I-SIT-KICH
8513;ISITMA;I-SIT-MA
8514;ISITMALAMOQ;I-SIT-MA-LA-MOQ
8515;ISITMALASH;I-SIT-MA-LASH
8516;ISITMOQ;I-SIT-MOQ
8517;ISKABTOPAR;IS-KAB-TO-PAR
8518;ISKAMOQ;IS-KA-MOQ
8519;ISKANA;IS-KA-NA
8520;ISKANJA;IS-KAN-JA
8521;ISKART;IS-KART
8522;ISKOVUCH;IS-KO-VUCH
8523;ISQIRT;IS-QIRT
8524;ISQOT;IS-QOT
8525;ISLAMOQ;IS-LA-MOQ
8526;ISLI;IS-LI
8527;ISLIK;IS-LIK
8528;ISLIMIY;IS-LI-MIY
8529;ISLOVOT;IS-LO-VOT
8530;ISLOVOTXONA;IS-LO-VOT-XO-NA
8531;ISLOVOTCHI;IS-LO-VOT-CHI
8532;ISLOM;IS-LOM
8533;ISLOMIY;IS-LO-MIY
8534;ISLOMIYA;IS-LO-MI-YA
8535;ISLOMIYAT;IS-LO-MI-YAT
8536;ISLOH;IS-LOH
8537;ISLOHOT;IS-LO-HOT
8538;ISM;ISM
8539;ISMALOQ;IS-MA-LOQ
8540;ISMAT;IS-MAT
8541;ISMDOSH;ISM-DOSH
8542;ISMLAMOQ;ISM-LA-MOQ
8543;ISMLI;ISM-LI
8544;ISNOD;IS-NOD
8545;ISPAN;IS-PAN
8546;ISPANLAR;IS-PAN-LAR
8547;ISPANCHA;IS-PAN-CHA
8548;ISROR;IS-ROR
8549;ISROF;IS-ROF
8550;ISROFGAR;IS-ROF-GAR
8551;ISROFGARCHILIK;IS-ROF-GAR-CHI-LIK
8552;ISROFLAMOQ;IS-ROF-LA-MOQ
8553;ISROFCHI;IS-ROF-CHI
8554;ISROFCHILIK;IS-ROF-CHI-LIK
8555;ISSIZ;IS-SIZ
8556;ISSIQ;IS-SIQ
8557;ISSIQLAMOQ;IS-SIQ-LA-MOQ
8558;ISSIQLIK;IS-SIQ-LIK
8559;ISSIQSEVAR;IS-SIQ-SE-VAR
8560;ISSIQXONA;IS-SIQ-XO-NA
8561;ISTAGAN;IS-TA-GAN
8562;ISTAK;IS-TAK
8563;ISTAKLIK;IS-TAK-LIK
8564;ISTALGAN;IS-TAL-GAN
8565;ISTAMAS;IS-TA-MAS
8566;ISTAMOQ;IS-TA-MOQ
8567;ISTAR;IS-TAR
8568;ISTARA;IS-TA-RA
8569;ISTARALI;IS-TA-RA-LI
8570;ISTEHZO;IS-TEH-ZO
8571;ISTEHZOLANMOQ;IS-TEH-ZO-LAN-MOQ
8572;ISTEHZOLI;IS-TEH-ZO-LI
8573;ISTEHZOSIZ;IS-TEH-ZO-SIZ
8574;ISTEHKOM;IS-TEH-KOM
8575;ISTE’DOD;IS-TE’-DOD
8576;ISTE’DODLI;IS-TE’-DOD-LI
8577;ISTE’MOL;IS-TE’-MOL
8578;ISTE’MOLCHI;IS-TE’-MOL-CHI
8579;ISTE’MOLCHILIK;IS-TE’-MOL-CHI-LIK
8580;ISTE’FO;IS-TE’-FO
8581;ISTIBDOD;IS-TIB-DOD
8582;ISTIBDODCHI;IS-TIB-DOD-CHI
8583;ISTIQBOL;IS-TIQ-BOL
8584;ISTIQBOLLI;IS-TIQ-BOL-LI
8585;ISTIQBOLSIZ;IS-TIQ-BOL-SIZ
8586;ISTIQLOL;IS-TIQ-LOL
8587;ISTIQOMAT;IS-TI-QO-MAT
8588;ISTIQOMATGOH;IS-TI-QO-MAT-GOH
8589;ISTILO;IS-TI-LO
8590;ISTILOH;IS-TI-LOH
8591;ISTILOHOT;IS-TI-LO-HOT
8592;ISTILOCHI;IS-TI-LO-CHI
8593;ISTILOCHILIK;IS-TI-LO-CHI-LIK
8594;ISTIROHAT;IS-TI-RO-HAT
8595;ISTIROHATGOH;IS-TI-RO-HAT-GOH
8596;ISTISQO;IS-TIS-QO
8597;ISTISNO;IS-TIS-NO
8598;ISTISNOSIZ;IS-TIS-NO-SIZ
8599;ISTIFODA;IS-TI-FO-DA
8600;ISTIFODALANMOQ;IS-TI-FO-DA-LAN-MOQ
8601;ISTIHOLA;IS-TI-HO-LA
8602;ISFAHON;IS-FA-HON
8603;ISFAHONIY;IS-FA-HO-NIY
8604;ISCHIROQ;IS-CHI-ROQ
8605;IT;IT
8606;ITALYAN;I-TAL-YAN
8607;ITALYANLAR;I-TAL-YAN-LAR
8608;ITALYANCHA;I-TAL-YAN-CHA
8609;ITARMOQ;I-TAR-MOQ
8610;ITBALIQ;IT-BA-LIQ
8611;ITBOZ;IT-BOZ
8612;ITBURUN;IT-BU-RUN
8613;ITVACHCHA;IT-VACH-CHA
8614;ITVOY;IT-VOY
8615;ITYOQA;IT-YO-QA
8616;ITQITMOQ;IT-QIT-MOQ
8617;ITQOVUN;IT-QO-VUN
8618;ITLIK;IT-LIK
8619;ITOAT;I-TO-AT
8620;ITOATGO‘Y;I-TO-AT-GO‘Y
8621;ITOATGO‘YLIK;I-TO-AT-GO‘Y-LIK
8622;ITOATKOR;I-TO-AT-KOR
8623;ITOATKORLIK;I-TO-AT-KOR-LIK
8624;ITOATKORONA;I-TO-AT-KO-RO-NA
8625;ITOATLI;I-TO-AT-LI
8626;ITOATSIZ;I-TO-AT-SIZ
8627;ITOG‘IZ;IT-O-G‘IZ
8628;ITOLG‘I;I-TOL-G‘I
8629;ITPASHSHA;IT-PASH-SHA
8630;ITTIFOQ;IT-TI-FOQ
8631;ITTIFOQDOSH;IT-TI-FOQ-DOSH
8632;ITTIFOQLASHMOQ;IT-TI-FOQ-LASH-MOQ
8633;ITTIFOQLIK;IT-TI-FOQ-LIK
8634;ITTIFOQO;IT-TI-FO-QO
8635;ITTIFOQCHI;IT-TI-FOQ-CHI
8636;ITTIHOD;IT-TI-HOD
8637;ITUZUM;IT-U-ZUM
8638;ITFE’L;IT-FE’L
8639;ITXONA;IT-XO-NA
8640;ITCHILIK;IT-CHI-LIK
8641;ITYALOQ;IT-YA-LOQ
8642;YO‘G‘I;YO‘-G‘I
8643;YO‘G‘IRMOQ;YO‘-G‘IR-MOQ
8644;YO‘G‘ON;YO‘-G‘ON
8645;YO‘G‘ONLASHMOQ;YO‘-G‘ON-LASH-MOQ
8646;YO‘G‘ONLIK;YO‘-G‘ON-LIK
8647;YO‘YMOQ;YO‘Y-MOQ
8648;YO‘Q;YO‘Q
8649;YO‘QLAMA;YO‘Q-LA-MA
8650;YO‘QLAMOQ;YO‘Q-LA-MOQ
8651;YO‘QLANDI;YO‘Q-LAN-DI
8652;YO‘QLIK;YO‘Q-LIK
8653;YO‘QLOVCHI;YO‘Q-LOV-CHI
8654;YO‘QOLMOQ;YO‘-QOL-MOQ
8655;YO‘QOTISH;YO‘-QO-TISH
8656;YO‘QOTMOQ;YO‘-QOT-MOQ
8657;YO‘QSA;YO‘Q-SA
8658;YO‘QSIL;YO‘Q-SIL
8659;YO‘QCHA;YO‘Q-CHA
8660;YO‘QCHI;YO‘Q-CHI
8661;YO‘QCHILIK;YO‘Q-CHI-LIK
8662;YO‘L;YO‘L
8663;YO‘LA;YO‘-LA
8664;YO‘LAK;YO‘-LAK
8665;YO‘LAKAY;YO‘-LA-KAY
8666;YO‘LAMOQ;YO‘-LA-MOQ
8667;YO‘LBARS;YO‘L-BARS
8668;YO‘LBOSHCHI;YO‘L-BOSH-CHI
8669;YO‘LBOSHCHILIK;YO‘L-BOSH-CHI-LIK
8670;YO‘LDOSH;YO‘L-DOSH
8671;YO‘LIGA;YO‘-LI-GA
8672;YO‘LIQMOQ;YO‘-LIQ-MOQ
8673;YO‘LKA;YO‘L-KA
8674;YO‘LKIRA;YO‘L-KI-RA
8675;YO‘LLAMOQ;YO‘L-LA-MOQ
8676;YO‘LLANMA;YO‘L-LAN-MA
8677;YO‘LLANMOQ;YO‘L-LAN-MOQ
8678;YO‘LLI;YO‘L-LI
8679;YO‘LMA;YO‘L-MA
8680;YO‘LOVCHI;YO‘-LOV-CHI
8681;YO‘LOYOQ;YO‘L-O-YOQ
8682;YO‘LPASHSHA;YO‘L-PASH-SHA
8683;YO‘LSIZ;YO‘L-SIZ
8684;YO‘LSIZLIK;YO‘L-SIZ-LIK
8685;YO‘LSOZ;YO‘L-SOZ
8686;YO‘LTO‘SAR;YO‘L-TO‘-SAR
8687;YO‘LTO‘SARLIK;YO‘L-TO‘-SAR-LIK
8688;YO‘LCHI;YO‘L-CHI
8689;YO‘NALISH;YO‘-NA-LISH
8690;YO‘NALMOQ;YO‘-NAL-MOQ
8691;YO‘NALTIRMOQ;YO‘-NAL-TIR-MOQ
8692;YO‘NG‘ICHQA;YO‘N-G‘ICH-QA
8693;YO‘NG‘ICHQAZOR;YO‘N-G‘ICH-QA-ZOR
8694;YO‘NG‘ICHQAPOYA;YO‘N-G‘ICH-QA-PO-YA
8695;YO‘NDIRMOQ;YO‘N-DIR-MOQ
8696;YO‘NIQ;YO‘-NIQ
8697;YO‘NMOQ;YO‘N-MOQ
8698;YO‘RG‘A;YO‘R-G‘A
8699;YO‘RGAK;YO‘R-GAK
8700;YO‘RGAKBOG‘;YO‘R-GAK-BOG‘
8701;YO‘RGAKLAMOQ;YO‘R-GAK-LA-MOQ
8702;YO‘RG‘ALAMOQ;YO‘R-G‘A-LA-MOQ
8703;YO‘RIQ;YO‘-RIQ
8704;YO‘RIQNOMA;YO‘-RIQ-NO-MA
8705;YO‘RMA;YO‘R-MA
8706;YO‘RMADO‘Z;YO‘R-MA-DO‘Z
8707;YO‘RMADO‘ZI;YO‘R-MA-DO‘-ZI
8708;YO‘RMADO‘ZLIK;YO‘R-MA-DO‘Z-LIK
8709;YO‘RMAMOQ;YO‘R-MA-MOQ
8710;YO‘RTMACHOQ;YO‘RT-MA-CHOQ
8711;YO‘RTMOQ;YO‘RT-MOQ
8712;YO‘RTOQI;YO‘R-TO-QI
8713;YO‘SIN;YO‘-SIN
8714;YO‘TAL;YO‘-TAL
8715;YO‘TALMOQ;YO‘-TAL-MOQ
8716;IFLOS;IF-LOS
8717;IFLOSLAMOQ;IF-LOS-LA-MOQ
8718;IFLOSLASHMOQ;IF-LOS-LASH-MOQ
8719;IFLOSLIK;IF-LOS-LIK
8720;IFO;I-FO
8721;IFODA;I-FO-DA
8722;IFODAVIY;I-FO-DA-VIY
8723;IFODAVIYLIK;I-FO-DA-VIY-LIK
8724;IFODALAMOQ;I-FO-DA-LA-MOQ
8725;IFODALI;I-FO-DA-LI
8726;IFODALILIK;I-FO-DA-LI-LIK
8727;IFODASIZ;I-FO-DA-SIZ
8728;IFODACHI;I-FO-DA-CHI
8729;IFOR;I-FOR
8730;IFORLI;I-FOR-LI
8731;IFTIXOR;IF-TI-XOR
8732;IFTIXORLI;IF-TI-XOR-LI
8733;IFTOR;IF-TOR
8734;IFTORLIK;IF-TOR-LIK
8735;IFFAT;IF-FAT
8736;IFFATLI;IF-FAT-LI
8737;IFFATSIZ;IF-FAT-SIZ
8738;IXLOS;IX-LOS
8739;IXLOSLI;IX-LOS-LI
8740;IXLOSMAND;IX-LOS-MAND
8741;IXTIYOR;IX-TI-YOR
8742;IXTIYORIY;IX-TI-YO-RIY
8743;IXTIYORIYLIK;IX-TI-YO-RIY-LIK
8744;IXTIYORLI;IX-TI-YOR-LI
8745;IXTIYORSIZ;IX-TI-YOR-SIZ
8746;IXTILOL;IX-TI-LOL
8747;IXTILOLCHI;IX-TI-LOL-CHI
8748;IXTILOT;IX-TI-LOT
8749;IXTILOF;IX-TI-LOF
8750;IXTILOFLI;IX-TI-LOF-LI
8751;IXTILOFCHI;IX-TI-LOF-CHI
8752;IXTIRO;IX-TI-RO
8753;IXTIROCHI;IX-TI-RO-CHI
8754;IXTIROCHILIK;IX-TI-RO-CHI-LIK
8755;IXTISOS;IX-TI-SOS
8756;IXTISOSLASHMOQ;IX-TI-SOS-LASH-MOQ
8757;IXTISOSLI;IX-TI-SOS-LI
8758;IXTISOSLIK;IX-TI-SOS-LIK
8759;IXCHAM;IX-CHAM
8760;IXCHAMLAMOQ;IX-CHAM-LA-MOQ
8761;IXCHAMLASHMOQ;IX-CHAM-LASH-MOQ
8762;IXCHAMLIK;IX-CHAM-LIK
8763;IHRANMOQ;IH-RAN-MOQ
8764;IHROM;IH-ROM
8765;IHTILOM;IH-TI-LOM
8766;ICH;ICH
8767;ICHAG‘ON;I-CHA-G‘ON
8768;ICHAK;I-CHAK
8769;ICHAKLAR;I-CHAK-LAR
8770;ICHBURUG‘;ICH-BU-RUG‘
8771;ICHGULIK;ICH-GU-LIK
8772;ICHDAN;ICH-DAN
8773;ICHIDA;I-CHI-DA
8774;ICHIKMOQ;I-CHIK-MOQ
8775;ICHIMLI;I-CHIM-LI
8776;ICHIMLIK;I-CHIM-LIK
8777;ICHIN;I-CHIN
8778;ICHISHLI;I-CHISH-LI
8779;ICHKARI;ICH-KA-RI
8780;ICHKARILAMOQ;ICH-KA-RI-LA-MOQ
8781;ICHKARILIK;ICH-KA-RI-LIK
8782;ICHKETAR;ICH-KE-TAR
8783;ICHKI;ICH-KI
8784;ICHKILIK;ICH-KI-LIK
8785;ICHKILIKBOZ;ICH-KI-LIK-BOZ
8786;ICHKILIKBOZLIK;ICH-KI-LIK-BOZ-LIK
8787;ICHKILIKXO‘R;ICH-KI-LIK-XO‘R
8788;ICHKILIKXO‘RLIK;ICH-KI-LIK-XO‘R-LIK
8789;ICHKUYOV;ICH-KU-YOV
8790;ICHKUYAR;ICH-KU-YAR
8791;ICHQOTISH;ICH-QO-TISH
8792;ICHMOQ;ICH-MOQ
8793;ICHOG‘RIQ;ICH-OG‘-RIQ
8794;ICHRA;ICH-RA
8795;ICHSURISH;ICH-SU-RISH
8796;ICHTERLAMA;ICH-TER-LA-MA
8797;ICHUVCHI;I-CHUV-CHI
8798;ISH;ISH
8799;ISHBAY;ISH-BAY
8800;ISHBILARMON;ISH-BI-LAR-MON
8801;ISHBILARMONLIK;ISH-BI-LAR-MON-LIK
8802;ISHBOP;ISH-BOP
8803;ISHBOSHI;ISH-BO-SHI
8804;ISHBOSHQARUVCHI;ISH-BOSH-QA-RUV-CHI
8805;ISHBUZUQI;ISH-BU-ZU-QI
8806;ISHVA;ISH-VA
8807;ISHVAKOR;ISH-VA-KOR
8808;ISHVALI;ISH-VA-LI
8809;ISHGIR;ISH-GIR
8810;ISHG‘OL;ISH-G‘OL
8811;ISHYOQMAS;ISH-YOQ-MAS
8812;ISHYOQMASLIK;ISH-YOQ-MAS-LIK
8813;ISHKAL;ISH-KAL
8814;ISHKOM;ISH-KOM
8815;ISHQ;ISHQ
8816;ISHQALAMOQ;ISH-QA-LA-MOQ
8817;ISHQALANISH;ISH-QA-LA-NISH
8818;ISHQIBOZ;ISH-QI-BOZ
8819;ISHQIBOZLIK;ISH-QI-BOZ-LIK
8820;ISHQIY;ISH-QIY
8821;ISHQILIB;ISH-QI-LIB
8822;ISHQIRMOQ;ISH-QIR-MOQ
8823;ISHQOR;ISH-QOR
8824;ISHQORIY;ISH-QO-RIY
8825;ISHQORLAMOQ;ISH-QOR-LA-MOQ
8826;ISHQORLI;ISH-QOR-LI
8827;ISHLAMOQ;ISH-LA-MOQ
8828;ISHLANMA;ISH-LAN-MA
8829;ISHLATMOQ;ISH-LAT-MOQ
8830;ISHLI;ISH-LI
8831;ISHLOV;ISH-LOV
8832;ISHONARLI;I-SHO-NAR-LI
8833;ISHONQIRAMOQ;I-SHON-QI-RA-MOQ
8834;ISHONMOQ;I-SHON-MOQ
8835;ISHONUVCHAN;I-SHO-NUV-CHAN
8836;ISHONUVCHANLIK;I-SHO-NUV-CHAN-LIK
8837;ISHONCH;I-SHONCH
8838;ISHONCHSIZ;I-SHONCH-SIZ
8839;ISHONCHSIZLIK;I-SHONCH-SIZ-LIK
8840;ISHORA;I-SHO-RA
8841;ISHORALAMOQ;I-SHO-RA-LA-MOQ
8842;ISHPECH;ISH-PECH
8843;ISHRAT;ISH-RAT
8844;ISHRATGOH;ISH-RAT-GOH
8845;ISHRATPARAST;ISH-RAT-PA-RAST
8846;ISHRATXONA;ISH-RAT-XO-NA
8847;ISHSIZ;ISH-SIZ
8848;ISHSIZLIK;ISH-SIZ-LIK
8849;ISHTAHA;ISH-TA-HA
8850;ISHTAHALI;ISH-TA-HA-LI
8851;ISHTAHASIZ;ISH-TA-HA-SIZ
8852;ISHTAHASIZLIK;ISH-TA-HA-SIZ-LIK
8853;ISHTIYOQ;ISH-TI-YOQ
8854;ISHTIYOQLI;ISH-TI-YOQ-LI
8855;ISHTIYOQMAND;ISH-TI-YOQ-MAND
8856;ISHTIYOQSIZ;ISH-TI-YOQ-SIZ
8857;ISHTIROK;ISH-TI-ROK
8858;ISHTIROKCHI;ISH-TI-ROK-CHI
8859;ISHTON;ISH-TON
8860;ISHTONBOG‘;ISH-TON-BOG‘
8861;ISHTONSIZ;ISH-TON-SIZ
8862;ISHTONCHANG;ISH-TON-CHANG
8863;ISHXONA;ISH-XO-NA
8864;ISHCHAN;ISH-CHAN
8865;ISHCHANLIK;ISH-CHAN-LIK
8866;ISHCHI;ISH-CHI
8867;ISHSHAYMOQ;ISH-SHAY-MOQ
8868;ISHYURITISH;ISH-YU-RI-TISH
8869;ISHYURITUVCHI;ISH-YU-RI-TUV-CHI
8870;IYUL;I-YUL
8871;IYUN;I-YUN
8872;IYAK;I-YAK
8873;IYARMOQ;I-YAR-MOQ
8874;KABARE;KA-BA-RE
8875;KABELSOZ;KA-BEL-SOZ
8876;KABELSOZLIK;KA-BEL-SOZ-LIK
8877;KABELCHI;KA-BEL-CHI
8878;KABELCHILIK;KA-BEL-CHI-LIK
8879;KABEL;KA-BEL
8880;KABI;KA-BI
8881;KABINA;KA-BI-NA
8882;KABINET;KA-BI-NET
8883;KABIR;KA-BIR
8884;KABISA;KA-BI-SA
8885;KABOB;KA-BOB
8886;KABOBPAZ;KA-BOB-PAZ
8887;KABOBPAZLIK;KA-BOB-PAZ-LIK
8888;KABOBXONA;KA-BOB-XO-NA
8889;KABOBXO‘R;KA-BOB-XO‘R
8890;KABOBXO‘RLIK;KA-BOB-XO‘R-LIK
8891;KABOBCHI;KA-BOB-CHI
8892;KABUTAR;KA-BU-TAR
8893;KAVAK;KA-VAK
8894;KAVAKLAMOQ;KA-VAK-LA-MOQ
8895;KAVALER;KA-VA-LER
8896;KAVALERIST;KA-VA-LE-RIST
8897;KAVALERIYA;KA-VA-LE-RI-YA
8898;KAVERIA;KA-VE-RI-A
8899;KAVOB;KA-VOB
8900;KAVOBCHI;KA-VOB-CHI
8901;KAVRAK;KAV-RAK
8902;KAVSAR;KAV-SAR
8903;KAVUSH;KA-VUSH
8904;KAVUSHANDOZ;KA-VU-SHAN-DOZ
8905;KAVUSHDO‘Z;KA-VUSH-DO‘Z
8906;KAVUSHDO‘ZLIK;KA-VUSH-DO‘Z-LIK
8907;KAVUSHCHAN;KA-VUSH-CHAN
8908;KAVSHAMOQ;KAV-SHA-MOQ
8909;KAVSHAR;KAV-SHAR
8910;KAVSHARLAGICH;KAV-SHAR-LA-GICH
8911;KAVSHARLAMOQ;KAV-SHAR-LA-MOQ
8912;KAGOR;KA-GOR
8913;KADAR;KA-DAR
8914;KADASTR;KA-DASTR
8915;KADI;KA-DI
8916;KADMIY;KAD-MIY
8917;KADR;KADR
8918;KAJ;KAJ
8919;KAJAVA;KA-JA-VA
8920;KAJAVALI;KA-JA-VA-LI
8921;KAJBAHS;KAJ-BAHS
8922;KAJBAHSLIK;KAJ-BAHS-LIK
8923;KAZAK;KA-ZAK
8924;KAZARMA;KA-ZAR-MA
8925;KAZZOB;KAZ-ZOB
8926;KAZZOBLIK;KAZ-ZOB-LIK
8927;KAZINO;KA-ZI-NO
8928;KAZO;KA-ZO
8929;KAYVON;KAY-VON
8930;KAYVONI;KAY-VO-NI
8931;KAYMANLAR;KAY-MAN-LAR
8932;KAYNOZOY;KAY-NO-ZOY
8933;KAYF;KAYF
8934;KAYFIYAT;KAY-FI-YAT
8935;KAYFLANMOQ;KAYF-LAN-MOQ
8936;KAYFSIZ;KAYF-SIZ
8937;KAYFSIZLANMOQ;KAYF-SIZ-LAN-MOQ
8938;KAYFCHILIK;KAYF-CHI-LIK
8939;KAKAO;KA-KA-O
8940;KAKIR;KA-KIR
8941;KAKIRLAMOQ;KA-KIR-LA-MOQ
8942;KAKKU;KAK-KU
8943;KAKLIK;KAK-LIK
8944;KAKRA;KAK-RA
8945;KAKTUS;KAK-TUS
8946;KAL;KAL
8947;KALAVA;KA-LA-VA
8948;KALAVALAMOQ;KA-LA-VA-LA-MOQ
8949;KALAVAXONA;KA-LA-VA-XO-NA
8950;KALAVACHI;KA-LA-VA-CHI
8951;KALAKA;KA-LA-KA
8952;KALAMUSH;KA-LA-MUSH
8953;KALANTAR;KA-LAN-TAR
8954;KALAPATRA;KA-LA-PAT-RA
8955;KALVAK;KAL-VAK
8956;KALDIRAMOQ;KAL-DI-RA-MOQ
8957;KALENDAR;KA-LEN-DAR
8958;KALJO‘RCHI;KAL-JO‘R-CHI
8959;KALIBR;KA-LIBR
